1536_row,1536_column,384_plate,384_row,384_column
19,3,1,9,6
19,4,1,9,8
19,5,1,9,10
19,6,1,9,12
19,7,1,9,14
19,8,1,9,16
19,9,1,9,18
19,10,1,9,20
19,11,1,9,22
19,12,1,9,24
19,13,2,9,2
19,14,2,9,4
19,15,2,9,6
19,16,2,9,8
19,17,2,9,10
19,18,2,9,12
19,19,2,9,14
19,20,2,9,16
19,21,2,9,18
19,22,2,9,20
19,23,2,9,22
19,24,2,9,24
19,25,3,9,2
19,26,3,9,4
19,27,3,9,6
19,28,3,9,8
19,29,3,9,10
19,30,3,9,12
19,31,3,9,14
19,32,3,9,16
19,33,3,9,18
19,34,3,9,20
19,35,3,9,22
19,36,3,9,24
19,37,4,9,2
19,38,4,9,4
19,39,4,9,6
19,40,4,9,8
19,41,4,9,10
19,42,4,9,12
19,43,4,9,14
19,44,4,9,16
19,45,4,9,18
19,46,4,9,20
19,47,4,9,22
19,48,4,9,24
20,1,1,10,2
20,2,1,10,4
20,3,1,10,6
20,4,1,10,8
20,5,1,10,10
20,6,1,10,12
20,7,1,10,14
20,8,1,10,16
20,9,1,10,18
20,10,1,10,20
20,11,1,10,22
20,12,1,10,24
20,13,2,10,2
20,14,2,10,4
20,15,2,10,6
20,16,2,10,8
20,17,2,10,10
20,18,2,10,12
20,19,2,10,14
20,20,2,10,16
20,21,2,10,18
20,22,2,10,20
20,23,2,10,22
20,24,2,10,24
20,25,3,10,2
20,26,3,10,4
20,27,3,10,6
20,28,3,10,8
20,29,3,10,10
20,30,3,10,12
20,31,3,10,14
20,32,3,10,16
20,33,3,10,18
20,34,3,10,20
20,35,3,10,22
20,36,3,10,24
20,37,4,10,2
20,38,4,10,4
20,39,4,10,6
20,40,4,10,8
20,41,4,10,10
20,42,4,10,12
20,43,4,10,14
20,44,4,10,16
20,45,4,10,18
20,46,4,10,20
20,47,4,10,22
20,48,4,10,24
21,1,1,11,1
21,2,1,11,3
21,3,1,11,5
21,4,1,11,7
21,5,1,11,9
21,6,1,11,11
21,7,1,11,13
21,8,1,11,15
21,9,1,11,17
21,10,1,11,19
21,11,1,11,21
21,12,1,11,23
21,13,2,11,1
21,14,2,11,3
21,15,2,11,5
21,16,2,11,7
21,17,2,11,9
21,18,2,11,11
21,19,2,11,13
21,20,2,11,15
21,21,2,11,17
21,22,2,11,19
21,23,2,11,21
21,24,2,11,23
21,25,3,11,1
21,26,3,11,3
21,27,3,11,5
21,28,3,11,7
21,29,3,11,9
21,30,3,11,11
21,31,3,11,13
21,32,3,11,15
21,33,3,11,17
21,34,3,11,19
21,35,3,11,21
21,36,3,11,23
21,37,4,11,1
21,38,4,11,3
21,39,4,11,5
21,40,4,11,7
21,41,4,11,9
21,42,4,11,11
21,43,4,11,13
21,44,4,11,15
21,45,4,11,17
21,46,4,11,19
21,47,4,11,21
21,48,4,11,23
22,1,1,12,1
22,2,1,12,3
22,3,1,12,5
22,4,1,12,7
22,5,1,12,9
22,6,1,12,11
22,7,1,12,13
22,8,1,12,15
22,9,1,12,17
22,10,1,12,19
22,11,1,12,21
22,12,1,12,23
22,13,2,12,1
22,14,2,12,3
22,15,2,12,5
22,16,2,12,7
22,17,2,12,9
22,18,2,12,11
22,19,2,12,13
22,20,2,12,15
22,21,2,12,17
22,22,2,12,19
22,23,2,12,21
22,24,2,12,23
22,25,3,12,1
22,26,3,12,3
22,27,3,12,5
22,28,3,12,7
22,29,3,12,9
22,30,3,12,11
22,31,3,12,13
22,32,3,12,15
22,33,3,12,17
22,34,3,12,19
22,35,3,12,21
22,36,3,12,23
22,37,4,12,1
22,38,4,12,3
22,39,4,12,5
22,40,4,12,7
22,41,4,12,9
22,42,4,12,11
22,43,4,12,13
22,44,4,12,15
22,45,4,12,17
22,46,4,12,19
22,47,4,12,21
22,48,4,12,23
23,1,1,11,2
23,2,1,11,4
23,3,1,11,6
23,4,1,11,8
23,5,1,11,10
23,6,1,11,12
23,7,1,11,14
23,8,1,11,16
23,9,1,11,18
23,10,1,11,20
23,11,1,11,22
23,12,1,11,24
23,13,2,11,2
23,14,2,11,4
23,15,2,11,6
23,16,2,11,8
23,17,2,11,10
23,18,2,11,12
23,19,2,11,14
23,20,2,11,16
23,21,2,11,18
23,22,2,11,20
23,23,2,11,22
23,24,2,11,24
23,25,3,11,2
23,26,3,11,4
23,27,3,11,6
23,28,3,11,8
23,29,3,11,10
23,30,3,11,12
23,31,3,11,14
23,32,3,11,16
23,33,3,11,18
23,34,3,11,20
23,35,3,11,22
23,36,3,11,24
23,37,4,11,2
23,38,4,11,4
23,39,4,11,6
23,40,4,11,8
23,41,4,11,10
23,42,4,11,12
23,43,4,11,14
23,44,4,11,16
23,45,4,11,18
23,46,4,11,20
23,47,4,11,22
23,48,4,11,24
24,1,1,12,2
24,2,1,12,4
24,3,1,12,6
24,4,1,12,8
24,5,1,12,10
24,6,1,12,12
24,7,1,12,14
24,8,1,12,16
24,9,1,12,18
24,10,1,12,20
24,11,1,12,22
24,12,1,12,24
24,13,2,12,2
24,14,2,12,4
24,15,2,12,6
24,16,2,12,8
24,17,2,12,10
24,18,2,12,12
24,19,2,12,14
24,20,2,12,16
24,21,2,12,18
24,22,2,12,20
24,23,2,12,22
24,24,2,12,24
24,25,3,12,2
24,26,3,12,4
24,27,3,12,6
24,28,3,12,8
24,29,3,12,10
24,30,3,12,12
24,31,3,12,14
24,32,3,12,16
24,33,3,12,18
24,34,3,12,20
24,35,3,12,22
24,36,3,12,24
24,37,4,12,2
24,38,4,12,4
24,39,4,12,6
24,40,4,12,8
24,41,4,12,10
24,42,4,12,12
24,43,4,12,14
24,44,4,12,16
24,45,4,12,18
24,46,4,12,20
24,47,4,12,22
24,48,4,12,24
25,1,1,13,1
25,2,1,13,3
25,3,1,13,5
25,4,1,13,7
25,5,1,13,9
25,6,1,13,11
25,7,1,13,13
25,8,1,13,15
25,9,1,13,17
25,10,1,13,19
25,11,1,13,21
25,12,1,13,23
25,13,2,13,1
25,14,2,13,3
25,15,2,13,5
25,16,2,13,7
25,17,2,13,9
25,18,2,13,11
25,19,2,13,13
25,20,2,13,15
25,21,2,13,17
25,22,2,13,19
25,23,2,13,21
25,24,2,13,23
25,25,3,13,1
25,26,3,13,3
25,27,3,13,5
25,28,3,13,7
25,29,3,13,9
25,30,3,13,11
25,31,3,13,13
25,32,3,13,15
25,33,3,13,17
25,34,3,13,19
25,35,3,13,21
25,36,3,13,23
25,37,4,13,1
25,38,4,13,3
25,39,4,13,5
25,40,4,13,7
25,41,4,13,9
25,42,4,13,11
25,43,4,13,13
25,44,4,13,15
25,45,4,13,17
25,46,4,13,19
25,47,4,13,21
25,48,4,13,23
26,1,1,14,1
26,2,1,14,3
26,3,1,14,5
26,4,1,14,7
26,5,1,14,9
26,6,1,14,11
26,7,1,14,13
26,8,1,14,15
26,9,1,14,17
26,10,1,14,19
26,11,1,14,21
26,12,1,14,23
26,13,2,14,1
26,14,2,14,3
26,15,2,14,5
26,16,2,14,7
26,17,2,14,9
26,18,2,14,11
26,19,2,14,13
26,20,2,14,15
26,21,2,14,17
26,22,2,14,19
26,23,2,14,21
26,24,2,14,23
26,25,3,14,1
26,26,3,14,3
26,27,3,14,5
26,28,3,14,7
26,29,3,14,9
26,30,3,14,11
26,31,3,14,13
26,32,3,14,15
26,33,3,14,17
26,34,3,14,19
26,35,3,14,21
26,36,3,14,23
26,37,4,14,1
26,38,4,14,3
26,39,4,14,5
26,40,4,14,7
26,41,4,14,9
26,42,4,14,11
26,43,4,14,13
26,44,4,14,15
26,45,4,14,17
26,46,4,14,19
26,47,4,14,21
26,48,4,14,23
27,1,1,13,2
27,2,1,13,4
27,3,1,13,6
27,4,1,13,8
27,5,1,13,10
27,6,1,13,12
27,7,1,13,14
27,8,1,13,16
27,9,1,13,18
27,10,1,13,20
27,11,1,13,22
27,12,1,13,24
27,13,2,13,2
27,14,2,13,4
27,15,2,13,6
27,16,2,13,8
27,17,2,13,10
27,18,2,13,12
27,19,2,13,14
27,20,2,13,16
27,21,2,13,18
27,22,2,13,20
27,23,2,13,22
27,24,2,13,24
27,25,3,13,2
27,26,3,13,4
27,27,3,13,6
27,28,3,13,8
27,29,3,13,10
27,30,3,13,12
27,31,3,13,14
27,32,3,13,16
27,33,3,13,18
27,34,3,13,20
27,35,3,13,22
27,36,3,13,24
27,37,4,13,2
27,38,4,13,4
27,39,4,13,6
27,40,4,13,8
27,41,4,13,10
27,42,4,13,12
27,43,4,13,14
27,44,4,13,16
27,45,4,13,18
27,46,4,13,20
27,47,4,13,22
27,48,4,13,24
28,1,1,14,2
28,2,1,14,4
28,3,1,14,6
28,4,1,14,8
28,5,1,14,10
28,6,1,14,12
28,7,1,14,14
28,8,1,14,16
28,9,1,14,18
28,10,1,14,20
28,11,1,14,22
28,12,1,14,24
28,13,2,14,2
28,14,2,14,4
28,15,2,14,6
28,16,2,14,8
28,17,2,14,10
28,18,2,14,12
28,19,2,14,14
28,20,2,14,16
28,21,2,14,18
28,22,2,14,20
28,23,2,14,22
28,24,2,14,24
28,25,3,14,2
28,26,3,14,4
28,27,3,14,6
28,28,3,14,8
28,29,3,14,10
28,30,3,14,12
28,31,3,14,14
28,32,3,14,16
28,33,3,14,18
28,34,3,14,20
28,35,3,14,22
28,36,3,14,24
28,37,4,14,2
28,38,4,14,4
28,39,4,14,6
28,40,4,14,8
28,41,4,14,10
28,42,4,14,12
28,43,4,14,14
28,44,4,14,16
28,45,4,14,18
28,46,4,14,20
28,47,4,14,22
28,48,4,14,24
29,1,1,15,1
29,2,1,15,3
29,3,1,15,5
29,4,1,15,7
29,5,1,15,9
29,6,1,15,11
29,7,1,15,13
29,8,1,15,15
29,9,1,15,17
29,10,1,15,19
29,11,1,15,21
29,12,1,15,23
29,13,2,15,1
29,14,2,15,3
29,15,2,15,5
29,16,2,15,7
29,17,2,15,9
29,18,2,15,11
29,19,2,15,13
29,20,2,15,15
29,21,2,15,17
29,22,2,15,19
29,23,2,15,21
29,24,2,15,23
29,25,3,15,1
29,26,3,15,3
29,27,3,15,5
29,28,3,15,7
29,29,3,15,9
29,30,3,15,11
29,31,3,15,13
29,32,3,15,15
29,33,3,15,17
29,34,3,15,19
29,35,3,15,21
29,36,3,15,23
29,37,4,15,1
29,38,4,15,3
29,39,4,15,5
29,40,4,15,7
29,41,4,15,9
29,42,4,15,11
29,43,4,15,13
29,44,4,15,15
29,45,4,15,17
29,46,4,15,19
